county,pop,persons per household,persons 65 and over,households w computers,households w Internet,persons w out health ins,median household income,persons in poverty,pop per sq mile
Fulton GA,1063937,2.47,0.12,0.916,0.831,0.137,64787,0.135,1,748.0
Forsyth GA,244252,2.98,0.124,0.96,0.926,0.107,101743,0.05,783.5
Floyd GA,98498,2.60,0.17,0.834,0.773,0.172,46367,0.207,188.9
Fayette GA,114421,2.79,0.187,0.934,0.892,0.108,87272,0.05,548.3
Fannin GA,26188,2.37,0.306,0.844,0.783,0.192,45647,0.168,61.2
Emanuel GA,22646,2.58,0.165,0.8,0.651,0.159,34946,0.251,33.2
Gwinnett GA,936250,3.11,0.105,0.952,0.875,0.181,67769,0.092,1,871.2
Greene GA,18324,2.40,0.293,0.815,0.677,0.197,49755,0.193,41.3
Grady GA,24633,2.74,0.185,0.793,0.704,0.208,42348,0.2,55.0
Gordon GA,57963,2.77,0.153,0.825,0.699,0.206,44313,0.168,155.1
Glynn GA,85292,2.44,0.211,0.867,0.781,0.176,50672,0.166,189.7
Gilmer GA,31369,2.55,0.255,0.825,0.737,0.247,49389,0.174,66.3
Greene AL,8111,2.83,0.233,0.552,0.462,0.117,21804,0.301,14.0
Geneva AL,26271,2.50,0.206,0.798,0.669,0.142,38142,0.213,46.6
Franklin AL,31362,2.79,0.171,0.716,0.597,0.164,40459,0.192,50.0
Etowah AL,102268,2.62,0.194,0.834,0.734,0.125,44023,0.175,195.2
Escambia AL,36633,2.57,0.183,0.654,0.573,0.149,35000,0.236,40.5
Elmore AL,81209,2.63,0.156,0.866,0.796,0.099,59347,0.112,128.2
Jackson GA,72977,2.95,0.147,0.86,0.777,0.155,62495,0.087,178.1
Houston GA,157863,2.67,0.13,0.891,0.799,0.12,58770,0.121,372.5
Henry GA,234561,2.98,0.119,0.949,0.87,0.137,68609,0.075,633.0
Harris GA,35236,2.72,0.193,0.895,0.811,0.119,74261,0.087,69.0
Haralson GA,29792,2.57,0.162,0.829,0.725,0.157,46353,0.159,102.0
Hall GA,204441,3.04,0.154,0.895,0.821,0.209,59898,0.132,457.5
Laurens GA,47546,2.70,0.181,0.718,0.567,0.158,37369,0.246,60.0
Lamar GA,19077,2.71,0.174,0.823,0.692,0.152,41464,0.173,99.8
Johnson GA,9643,2.82,0.186,0.719,0.574,0.159,39813,0.3,32.9
Jefferson GA,15362,2.72,0.189,0.741,0.538,0.182,34300,0.223,32.2
Jeff Davis GA,15115,2.82,0.161,0.782,0.543,0.196,36531,0.206,45.6
Jasper GA,14219,2.69,0.177,0.835,0.683,0.195,43284,0.154,37.8
Meriwether GA,21167,2.55,0.208,0.728,0.572,0.174,36351,0.244,43.9
Marion GA,8359,2.52,0.209,0.765,0.545,0.166,44309,0.228,23.9
Madison GA,29880,2.67,0.174,0.811,0.711,0.187,51701,0.161,99.6
McDuffie GA,21312,2.62,0.181,0.738,0.581,0.146,39199,0.199,85.0
Lowndes GA,117406,2.73,0.126,0.848,0.65,0.175,41390,0.259,220.2
Liberty GA,61435,2.59,0.096,0.921,0.834,0.131,45959,0.161,129.5
Pickens GA,32591,2.57,0.223,0.879,0.834,0.16,64512,0.11,126.8
Peach GA,27546,2.47,0.165,0.815,0.73,0.163,42802,0.24,184.3
Paulding GA,168667,2.96,0.109,0.933,0.847,0.137,66467,0.078,455.8
Newton GA,111744,2.87,0.133,0.909,0.824,0.16,53309,0.148,367.3
Muscogee GA,195769,2.60,0.137,0.859,0.751,0.145,45389,0.201,877.5
Murray GA,40096,2.79,0.153,0.836,0.75,0.213,45238,0.152,115.0
Stephens GA,25925,2.63,0.198,0.818,0.691,0.167,43416,0.163,146.1
Rockdale GA,90896,2.89,0.149,0.931,0.792,0.163,57049,0.132,656.5
Richmond GA,202518,2.65,0.145,0.846,0.722,0.16,40644,0.219,618.4
Polk GA,42613,2.76,0.157,0.851,0.726,0.188,43491,0.218,133.6
Pike GA,18962,2.92,0.162,0.865,0.736,0.139,58765,0.106,82.7
Pierce GA,19465,2.68,0.174,0.825,0.643,0.172,44167,0.181,59.3
Troup GA,69922,2.74,0.152,0.831,0.714,0.143,43850,0.202,161.9
Toombs GA,26830,2.56,0.17,0.752,0.667,0.187,36575,0.249,74.8
Tift GA,40644,2.56,0.154,0.723,0.641,0.197,42790,0.196,154.9
Thomas GA,44451,2.53,0.187,0.847,0.773,0.17,40112,0.202,82.1
Talbot GA,6195,2.30,0.255,0.697,0.529,0.159,36213,0.248,17.5
Stewart GA,6621,2.20,0.15,0.694,0.56,0.181,25385,0.379,13.2
Wayne GA,29927,2.67,0.16,0.82,0.677,0.175,44869,0.186,46.9
Washington GA,20374,2.53,0.178,0.765,0.607,0.15,38092,0.259,31.2
Ware GA,35734,2.38,0.176,0.84,0.662,0.156,39887,0.236,40.7
Walton GA,94593,2.87,0.157,0.904,0.801,0.154,58370,0.119,257.2
Union GA,24511,2.45,0.337,0.867,0.734,0.188,44978,0.138,66.3
Turner GA,7985,2.51,0.2,0.714,0.653,0.177,38341,0.279,31.3
Ada ID,481587,2.59,0.149,0.921,0.812,0.095,63137,0.097,372.8
