"V1","location_name","date","deaths_mean","deaths_lower","deaths_upper","totdea_mean","totdea_lower","totdea_upper","deaths_mean_smoothed","deaths_lower_smoothed","deaths_upper_smoothed","totdea_mean_smoothed","totdea_lower_smoothed","totdea_upper_smoothed","mobility_data_type","mobility_composite","total_tests_data_type","total_tests","confirmed_infections","est_infections_mean","est_infections_lower","est_infections_upper"
54337,"New Mexico","2020-08-30",0.538387908571467,0.142452270676628,1.69157609535388,654.879487030668,579.56576152643,826.772275951694,0.538387908571467,0.142452270676628,1.69157609535388,654.879487030668,579.56576152643,826.772275951694,"projected",-5.96157000552716,,,,40.1429206639968,12.2364049150085,135.388561259053
54338,"New Mexico","2020-08-31",0.522124215908509,0.138494454593624,1.65244716483301,655.401611246576,579.744717353681,828.115659022141,0.522124215908509,0.138494454593624,1.65244716483301,655.401611246576,579.744717353681,828.115659022141,"projected",-5.76853070917293,,,,39.5998804933028,12.1773060065927,133.03421525677
54339,"New Mexico","2020-09-01",0.508174111679053,0.136682262941375,1.61593416791365,655.909785358255,579.921605241489,829.404679418383,0.508174111679053,0.136682262941375,1.61593416791365,655.909785358255,579.921605241489,829.404679418383,"projected",-5.57793863378437,,,,39.093151808853,12.0961049483973,130.775621153816
54340,"New Mexico","2020-09-02",0.495253024514099,0.134236780163286,1.58080526942874,656.405038382769,580.117473303354,830.658662156251,0.495253024514099,0.134236780163286,1.58080526942874,656.405038382769,580.117473303354,830.658662156251,"projected",-5.38980084196798,,,,38.6014168348396,12.0195032295655,128.517960246553
54341,"New Mexico","2020-09-03",0.483068386243813,0.133279225361792,1.55975337835189,656.888106769013,580.270940470776,831.863473448341,0.483068386243813,0.133279225361792,1.55975337835189,656.888106769013,580.270940470776,831.863473448341,"projected",-5.20412279164547,,,,38.1296262020471,11.9184233560227,126.399853895034
54342,"New Mexico","2020-09-04",0.471905180099994,0.131364144073748,1.54119874538499,657.360011949113,580.428862670348,832.636249404712,0.471905180099994,0.131364144073748,1.54119874538499,657.360011949113,580.428862670348,832.636249404712,"projected",-5.0209083743845,,,,37.7206034055515,11.8734124572715,124.397461588215
54343,"New Mexico","2020-09-05",0.460659112648364,0.128737466919759,1.50733236838831,657.820671061762,580.527800210575,833.381076612564,0.460659112648364,0.128737466919759,1.50733236838831,657.820671061762,580.527800210575,833.381076612564,"projected",-4.84015995485923,,,,37.3657661986405,11.8608567487565,122.657713119237
54344,"New Mexico","2020-09-06",0.449355256071661,0.125420776117988,1.46394151020839,658.270026317833,580.645729562697,834.093740345666,0.449355256071661,0.125420776117988,1.46394151020839,658.270026317833,580.645729562697,834.093740345666,"projected",-4.66187841130885,,,,37.0391491552731,11.8533873963868,121.393930777651
54345,"New Mexico","2020-09-07",0.438859280041344,0.122405274910327,1.4367486072134,658.708885597875,580.76631605507,834.776564302098,0.438859280041344,0.122405274910327,1.4367486072134,658.708885597875,580.76631605507,834.776564302098,"projected",-4.48606317687315,,,,36.740527524858,11.8519706111983,119.442601410608
54346,"New Mexico","2020-09-08",0.429077112997266,0.120212978299253,1.41151759743048,659.137962710872,580.88533444221,835.431521115173,0.429077112997266,0.120212978299253,1.41151759743048,659.137962710872,580.88533444221,835.431521115173,"projected",-4.31271228167815,,,,36.4692468923605,11.855331658083,117.990459423646
54347,"New Mexico","2020-09-09",0.419948690851424,0.118711777633905,1.38781294726887,659.557911401723,581.002927434915,836.060479094475,0.419948690851424,0.118711777633905,1.38781294726887,659.557911401723,581.002927434915,836.060479094475,"projected",-4.14182239555448,,,,36.1996147186405,11.831656146259,116.982682514575
54348,"New Mexico","2020-09-10",0.411422251870735,0.117359894233971,1.35707137300415,659.969333653594,581.119227401726,836.665370301049,0.411422251870735,0.117359894233971,1.35707137300415,659.969333653594,581.119227401726,836.665370301049,"projected",-3.97338887127698,,,,35.9359644755614,11.786779127107,116.363661655656
54349,"New Mexico","2020-09-11",0.403396263866438,0.116227226282001,1.32302353742982,660.37272991746,581.234356427746,837.247861156161,0.403396263866438,0.116227226282001,1.32302353742982,660.37272991746,581.234356427746,837.247861156161,"projected",-3.80740578820598,,,,35.7307993896406,11.7581762137823,115.9419690751
54350,"New Mexico","2020-09-12",0.39579746742555,0.115207938066274,1.30958575366675,660.768527384886,581.348399500752,837.809332408933,0.39579746742555,0.115207938066274,1.30958575366675,660.768527384886,581.348399500752,837.809332408933,"projected",-3.64386599623588,,,,35.5771914787251,11.7597259199363,115.694035656378
54351,"New Mexico","2020-09-13",0.388655583978096,0.114294906101554,1.29662323292966,661.157182968864,581.461451004765,838.351067450635,0.388655583978096,0.114294906101554,1.29662323292966,661.157182968864,581.461451004765,838.351067450635,"projected",-3.48276115993217,,,,35.4456419851335,11.7662504340638,115.50991437292
