"V1","location_name","date","location_id","deaths_mean","deaths_lower","deaths_upper","totdea_mean","totdea_lower","totdea_upper","deaths_mean_smoothed","deaths_lower_smoothed","deaths_upper_smoothed","totdea_mean_smoothed","totdea_lower_smoothed","totdea_upper_smoothed","mobility_data_type","mobility_composite","total_tests_data_type","total_tests","confirmed_infections","est_infections_mean","est_infections_lower","est_infections_upper"
82525,"Utah","2020-05-22",567,1,1,1,93,93,93,2.12473379033379,2.12473379033379,2.12473379033379,92.2855508506446,92.2855508506446,92.2855508506446,"observed",-27.74385,"observed",3210.32005094655,183.000000000003,,,
82526,"Utah","2020-05-23",567,4,4,4,97,97,97,2.1153208678992,2.1153208678992,2.1153208678992,94.4008717185438,94.4008717185438,94.4008717185438,"observed",-27.70153,"observed",3192.6879953491,202.999999999995,,,
82527,"Utah","2020-05-24",567,0,0,0,97,97,97,2.1057893656229,2.1057893656229,2.1057893656229,96.5066610841667,96.5066610841667,96.5066610841667,"observed",-27.66909,"observed",3176.4700135883,132.000000000004,,,
82528,"Utah","2020-05-25",567,1,1,1,98,98,98,2.0965465445183,2.0965465445183,2.0965465445183,98.603207628685,98.603207628685,98.603207628685,"observed",-27.58124,"observed",3162.67202907591,129,,,
82529,"Utah","2020-05-26",567,3,3,3,101,101,101,2.087965319495,2.087965319495,2.087965319495,100.69117294818,100.69117294818,100.69117294818,"observed",-27.36809,"observed",3153.03135886381,98.9999999999964,,,
82530,"Utah","2020-05-27",567,4,4,4,105,105,105,2.080374557773,2.080374557773,2.080374557773,102.771547505953,102.771547505953,102.771547505953,"observed",-26.99767,"observed",3149.93877878546,86.0000000000036,,,
82531,"Utah","2020-05-28",567,1,1,1,106,106,106,2.07408781856101,2.07408781856101,2.07408781856101,104.845635324514,104.845635324514,104.845635324514,"observed",-26.48744,"observed",3155.99402909971,215.000000000002,,,
82532,"Utah","2020-05-29",567,1,1,1,107,107,107,2.06932701343199,2.06932701343199,2.06932701343199,106.914962337946,106.914962337946,106.914962337946,"observed",-25.89832,"observed",3173.29293999745,343.000000000002,,,
82533,"Utah","2020-05-30",567,5,5,5,112,112,112,2.06621905563101,2.06621905563101,2.06621905563101,108.981181393577,108.981181393577,108.981181393577,"observed",-25.31645,"observed",3202.77637650224,268.999999999998,,,
82534,"Utah","2020-05-31",567,1,1,1,113,113,113,2.064650542379,2.064650542379,2.064650542379,111.045831935956,111.045831935956,111.045831935956,"observed",-24.82074,"observed",3244.00454824102,263.999999999998,,,
82535,"Utah","2020-06-01",567,0,0,0,113,113,113,2.064315552469,2.064315552469,2.064315552469,113.110147488425,113.110147488425,113.110147488425,"observed",-24.45427,"observed",3295.51824136758,201.999999999998,,,
82536,"Utah","2020-06-02",567,0,0,0,113,113,113,2.064871109308,2.064871109308,2.064871109308,115.175018597733,115.175018597733,115.175018597733,"observed",-24.22109,"observed",3355.60018032503,202.999999999998,,,
