"V1","location_name","date","deaths_mean","deaths_lower","deaths_upper","totdea_mean","totdea_lower","totdea_upper","deaths_mean_smoothed","deaths_lower_smoothed","deaths_upper_smoothed","totdea_mean_smoothed","totdea_lower_smoothed","totdea_upper_smoothed","mobility_data_type","mobility_composite","total_tests_data_type","total_tests","confirmed_infections","est_infections_mean","est_infections_lower","est_infections_upper"
54305,"New Mexico","2020-07-29",3.73604232035947,1.10292050828048,10.5266218942642,628.151890349569,570.808053308716,744.319514779463,3.73604232035947,1.10292050828048,10.5266218942642,628.151890349569,570.808053308716,744.319514779463,"projected",-14.2829287236775,,,,331.059091414187,68.7171966340975,1004.193557416
54306,"New Mexico","2020-07-30",3.69939263512602,1.06740296412065,10.3644900504606,631.851282984696,571.939687832231,752.919999811759,3.69939263512602,1.06740296412065,10.3644900504606,631.851282984696,571.939687832231,752.919999811759,"projected",-14.0718758416698,,,,326.905517725118,67.1291717877379,1000.58217164276
54307,"New Mexico","2020-07-31",3.66132509594901,1.03351250644567,10.428379012711,635.512608080645,573.146890389228,761.370749006211,3.66132509594901,1.03351250644567,10.428379012711,635.512608080645,573.146890389228,761.370749006211,"projected",-13.8618531797098,,,,322.824022918096,65.5671808977961,1003.55160636357
54308,"New Mexico","2020-08-01",3.62326781853182,1.00229744242392,10.4378113038211,639.135875899176,574.363476879296,769.665925181867,3.62326781853182,1.00229744242392,10.4378113038211,639.135875899176,574.363476879296,769.665925181867,"projected",-13.6529142874558,,,,318.815031916852,64.0102670690278,1006.174590982
54309,"New Mexico","2020-08-02",3.58507009316755,0.974863201771581,10.3172053180112,642.720945992344,575.550629166505,778.10818973058,3.58507009316755,0.974863201771581,10.3172053180112,642.720945992344,575.550629166505,778.10818973058,"projected",-13.445111485706,,,,314.986830302715,61.9363956246642,1008.72801517928
54310,"New Mexico","2020-08-03",3.54619558379102,0.948270854853337,10.3136293383456,646.267141576135,576.709160522287,788.753452264386,3.54619558379102,0.948270854853337,10.3136293383456,646.267141576135,576.709160522287,788.753452264386,"projected",-13.2384958197445,,,,311.302801644364,60.7427100270405,1011.16783671051
54311,"New Mexico","2020-08-04",3.50671619218311,0.91507181390005,10.2683402025595,649.773857768318,577.784142870163,799.45999424943,3.50671619218311,0.91507181390005,10.2683402025595,649.773857768318,577.784142870163,799.45999424943,"projected",-13.0331170156653,,,,307.744758657877,59.7965440714499,1013.50512374958
54312,"New Mexico","2020-08-05",3.46628066598922,0.88855726507644,10.1828622467369,653.240138434307,578.739444953813,810.227364508488,3.46628066598922,0.88855726507644,10.1828622467369,653.240138434307,578.739444953813,810.227364508488,"projected",-12.8290234397298,,,,304.390979592527,57.794471102918,1015.98340919052
54313,"New Mexico","2020-08-06",3.42442326851056,0.863412871368382,10.0925939997103,656.664561702818,579.634123036107,821.044610001292,3.42442326851056,0.863412871368382,10.0925939997103,656.664561702818,579.634123036107,821.044610001292,"projected",-12.6262620608009,,,,301.292740748474,56.5971776964725,1018.79048995727
54314,"New Mexico","2020-08-07",3.38191270248674,0.839981685657102,9.98812594903717,660.046474405305,580.503233464985,831.899585417732,3.38191270248674,0.839981685657102,9.98812594903717,660.046474405305,580.503233464985,831.899585417732,"projected",-12.4248784158895,,,,298.328174201848,55.3284304592991,1024.74513561773
54315,"New Mexico","2020-08-08",3.33976224682819,0.816122203014865,9.98156098620007,663.386236652133,581.348370319657,842.784948522252,3.33976224682819,0.816122203014865,9.98156098620007,663.386236652133,581.348370319657,842.784948522252,"projected",-12.224916578832,,,,295.43620424302,54.3336898815352,1025.21487570038
54316,"New Mexico","2020-08-09",3.29789131829642,0.787332348221122,10.036425216962,666.684127970429,582.171199328578,853.67391631673,3.29789131829642,0.787332348221122,10.036425216962,666.684127970429,582.171199328578,853.67391631673,"projected",-12.0264191321142,,,,292.642536244697,53.3801507440978,1022.92679824065
54317,"New Mexico","2020-08-10",3.25592375129556,0.75717840150935,10.0701265360355,669.940051721725,582.972443200704,864.569561103456,3.25592375129556,0.75717840150935,10.0701265360355,669.940051721725,582.972443200704,864.569561103456,"projected",-11.8294271418373,,,,289.946168425892,52.4615938145551,1020.84501226373
54318,"New Mexico","2020-08-11",3.21392469251163,0.728284303687332,9.76393275132099,673.153976414236,583.822874922372,875.475155134704,3.21392469251163,0.728284303687332,9.76393275132099,673.153976414236,583.822874922372,875.475155134704,"projected",-11.6339801358192,,,,287.344414022143,51.5159512367332,1022.5846254539
54319,"New Mexico","2020-08-12",3.17165624810788,0.708077657751602,9.68384857420845,676.325632662344,584.719009840974,883.627656034621,3.17165624810788,0.708077657751602,9.68384857420845,676.325632662344,584.719009840974,883.627656034621,"projected",-11.4401160848096,,,,284.856228689371,50.4982071624603,1018.30137418377
