"V1","location_name","date","location_id","deaths_mean","deaths_lower","deaths_upper","totdea_mean","totdea_lower","totdea_upper","deaths_mean_smoothed","deaths_lower_smoothed","deaths_upper_smoothed","totdea_mean_smoothed","totdea_lower_smoothed","totdea_upper_smoothed","mobility_data_type","mobility_composite","total_tests_data_type","total_tests","confirmed_infections","est_infections_mean","est_infections_lower","est_infections_upper"
4946,"Arizona","2020-03-24",525,3,3,3,5,5,5,1.05401165644692,1.05401165644692,1.05401165644692,4.26174640233077,4.26174640233077,4.26174640233077,"observed",-40.58603,"observed",955.631327212706,90.9999999999999,,,
4947,"Arizona","2020-03-25",525,1,1,1,6,6,6,1.37120519414886,1.37120519414886,1.37120519414886,5.63295159647963,5.63295159647963,5.63295159647963,"observed",-41.93359,"observed",1293.85834787466,74.9999999999997,,,
4948,"Arizona","2020-03-26",525,2,2,2,8,8,8,1.75478437931886,1.75478437931886,1.75478437931886,7.38773597579849,7.38773597579849,7.38773597579849,"observed",-43.06032,"observed",1606.45885069347,107,,,
4949,"Arizona","2020-03-27",525,5,5,5,13,13,13,2.20594127371321,2.20594127371321,2.20594127371321,9.5936772495117,9.5936772495117,9.5936772495117,"observed",-44.02991,"observed",1854.73776714982,157,,,
4950,"Arizona","2020-03-28",525,2,2,2,15,15,15,2.7211697121638,2.7211697121638,2.7211697121638,12.3148469616755,12.3148469616755,12.3148469616755,"observed",-44.89865,"observed",2024.98679741413,108,,,
4951,"Arizona","2020-03-29",525,2,2,2,17,17,17,3.2922306808334,3.2922306808334,3.2922306808334,15.6070776425089,15.6070776425089,15.6070776425089,"observed",-45.71027,"observed",2123.39476493593,145.999999999999,,,
4952,"Arizona","2020-03-30",525,3,3,3,20,20,20,3.9063000893291,3.9063000893291,3.9063000893291,19.513377731838,19.513377731838,19.513377731838,"observed",-46.49065,"observed",2165.80950630078,238,,,
4953,"Arizona","2020-03-31",525,4,4,4,24,24,24,4.5465937838512,4.5465937838512,4.5465937838512,24.0599715156892,24.0599715156892,24.0599715156892,"observed",-47.2489,"observed",2169.39089736254,131.999999999999,,,
4954,"Arizona","2020-04-01",525,5,5,5,29,29,29,5.1936012649166,5.1936012649166,5.1936012649166,29.2535727806058,29.2535727806058,29.2535727806058,"observed",-47.97894,"observed",2147.7560300256,241,,,
4955,"Arizona","2020-04-02",525,3,3,3,32,32,32,5.8271295864175,5.8271295864175,5.8271295864175,35.0807023670233,35.0807023670233,35.0807023670233,"observed",-48.66314,"observed",2109.49259852749,185.000000000001,,,
4956,"Arizona","2020-04-03",525,9,9,9,41,41,41,6.4291493211476,6.4291493211476,6.4291493211476,41.5098516881709,41.5098516881709,41.5098516881709,"observed",-49.27889,"observed",2059.14202888873,221.999999999998,,,
4957,"Arizona","2020-04-04",525,11,11,11,52,52,52,6.9841442570823,6.9841442570823,6.9841442570823,48.4939959452532,48.4939959452532,48.4939959452532,"observed",-49.80415,"observed",1999.30132720242,250.000000000002,,,
4958,"Arizona","2020-04-05",525,12,12,12,64,64,64,7.4801995865241,7.4801995865241,7.4801995865241,55.9741955317773,55.9741955317773,55.9741955317773,"observed",-50.22118,"observed",1932.5075248845,299,,,
4959,"Arizona","2020-04-06",525,1,1,1,65,65,65,7.9108178449991,7.9108178449991,7.9108178449991,63.8850133767764,63.8850133767764,63.8850133767764,"observed",-50.51764,"observed",1862.20064156544,246,,,
4960,"Arizona","2020-04-07",525,8,8,8,73,73,73,8.2741118295713,8.2741118295713,8.2741118295713,72.1591252063477,72.1591252063477,72.1591252063477,"observed",-50.68695,"observed",1792.73182072548,137.999999999999,,,
4961,"Arizona","2020-04-08",525,7,7,7,80,80,80,8.5729067119898,8.5729067119898,8.5729067119898,80.7320319183375,80.7320319183375,80.7320319183375,"observed",-50.72663,"observed",1728.7418420251,166,,,
4962,"Arizona","2020-04-09",525,9,9,9,89,89,89,8.81531065655041,8.81531065655041,8.81531065655041,89.5473425748879,89.5473425748879,89.5473425748879,"observed",-50.63667,"observed",1674.29219501005,0,,,
4963,"Arizona","2020-04-10",525,8,8,8,97,97,97,9.01231501717119,9.01231501717119,9.01231501717119,98.5596575920591,98.5596575920591,98.5596575920591,"observed",-50.42019,"observed",1632.06992094465,93.9999999999982,,,
4964,"Arizona","2020-04-11",525,11,11,11,108,108,108,9.1758084956389,9.1758084956389,9.1758084956389,107.735466087698,107.735466087698,107.735466087698,"observed",-50.08505,"observed",1602.93393328927,281,,,
4965,"Arizona","2020-04-12",525,7,7,7,115,115,115,9.31839984775399,9.31839984775399,9.31839984775399,117.053865935452,117.053865935452,117.053865935452,"observed",-49.64619,"observed",1585.95667011342,149.000000000001,,,
4966,"Arizona","2020-04-13",525,7,7,7,122,122,122,9.452596389711,9.452596389711,9.452596389711,126.506462325163,126.506462325163,126.506462325163,"observed",-49.12808,"observed",1578.95346469018,162.999999999999,,,
4967,"Arizona","2020-04-14",525,9,9,9,131,131,131,9.58916335777201,9.58916335777201,9.58916335777201,136.095625682935,136.095625682935,136.095625682935,"observed",-48.56747,"observed",1579.28765681152,104,,,
4968,"Arizona","2020-04-15",525,11,11,11,142,142,142,9.73620866482,9.73620866482,9.73620866482,145.831834347755,145.831834347755,145.831834347755,"observed",-48.0061,"observed",1584.62698366191,154.999999999999,,,
