"V1","location_name","date","allbed_mean","allbed_lower","allbed_upper","ICUbed_mean","ICUbed_lower","ICUbed_upper","InvVen_mean","InvVen_lower","InvVen_upper","admis_mean","admis_lower","admis_upper","newICU_mean","newICU_lower","newICU_upper","bedover_mean","bedover_lower","bedover_upper","icuover_mean","icuover_lower","icuover_upper","deaths_mean","deaths_lower","deaths_upper","totdea_mean","totdea_lower","totdea_upper","deaths_mean_smoothed","deaths_lower_smoothed","deaths_upper_smoothed","totdea_mean_smoothed","totdea_lower_smoothed","totdea_upper_smoothed","mobility_data_type","mobility_composite","total_tests_data_type","total_tests","confirmed_infections","est_infections_mean","est_infections_lower","est_infections_upper"
54385,"New Mexico","2020-10-17",120.365947105857,0,555.45,35.170568614869,0,163.5375,31.777570178016,0,150.5125,16.8352177677414,0,80.5749999999999,5.02980505058237,0,24.5,0,0,0,0,0,46.5375,3.5510153256445,0.335172101274409,16.7319624598663,860.679435256829,613.30593461106,1585.86643306725,3.5510153256445,0.335172101274409,16.7319624598663,860.679435256829,613.30593461106,1585.86643306725,"projected",-0.119529661639681,"projected",8469.19508560179,,592.697746696366,45.3741752364906,3026.87038700423
54386,"New Mexico","2020-10-18",123.029096191536,0,575.4125,35.8582823350583,0,169,32.4060554786287,0,151.525,17.5683776145037,0,88.0624999999999,5.14415868160048,0,25.0125,0,0,0,0,0,52,3.61861766686408,0.337916842453279,17.2259566117549,864.298052923693,613.789426153036,1600.31579407901,3.61861766686408,0.337916842453279,17.2259566117549,864.298052923693,613.789426153036,1600.31579407901,"projected",-0.100781843372328,"projected",8506.66940013986,,609.803395355747,46.1151645021513,3116.29975019347
54387,"New Mexico","2020-10-19",125.642246349531,0,607.55,36.568961551602,0,171.0375,33.0638113229778,0,155.55,17.8473054312346,0,88.0125,5.24713521667101,0,25.5,0,0,0,0,0,54.0375,3.69009301687962,0.340482359918073,17.6968508914143,867.988145940573,614.278626230079,1613.81112090551,3.69009301687962,0.340482359918073,17.6968508914143,867.988145940573,614.278626230079,1613.81112090551,"projected",-0.0850456223678975,"projected",8544.14371467791,,627.677764084636,46.8919549687067,3207.91998039274
54388,"New Mexico","2020-10-20",128.222240759374,0,607.187499999999,37.31389928313,0,178.0125,33.7680710805234,0,159.5,18.2415920576585,0,97.0125,5.35164202135584,0,25.5125,0,0,0,0,0,61.0125,3.7653958129158,0.342496872506649,18.0922461775378,871.753541753488,614.77433240786,1627.52800585236,3.7653958129158,0.342496872506649,18.0922461775378,871.753541753488,614.77433240786,1627.52800585236,"projected",-0.0712391985479558,"projected",8581.61802921598,,646.388944892131,47.7080789848231,3302.596447812
54389,"New Mexico","2020-10-21",130.782734309932,0,634.0875,38.1431744779386,0,179.6125,34.5189351535719,0,164.025,18.2900276355396,0,98.0749999999999,5.51492590047551,0,27.5125,0,0,0,0,0,62.6124999999999,3.84515481836779,0.344242364890212,18.5271673341835,875.598696571856,615.275955201793,1644.18841884713,3.84515481836779,0.344242364890212,18.5271673341835,875.598696571856,615.275955201793,1644.18841884713,"projected",-0.0593618298987094,"projected",8619.09234375404,,664.849070832173,48.4844012207235,3394.53416112068
54390,"New Mexico","2020-10-22",133.920643302733,0,645.2875,39.037889103522,0,187.0625,35.3385808140045,0,168.025,19.3476716747348,0,101.5625,5.67408104282628,0,29,0,0,0,0,0,70.0624999999999,3.9303839507799,0.346696179240914,19.0197127666599,879.529080522636,615.784365808583,1663.35606963278,3.9303839507799,0.346696179240914,19.0197127666599,879.529080522636,615.784365808583,1663.35606963278,"projected",-0.0492563133602058,"projected",8656.56665829209,,683.008010159047,49.218688189541,3503.6447847486
54391,"New Mexico","2020-10-23",136.812192907209,0,659.6,39.9263388817667,0,193.525,36.1610499512871,0,175.0875,19.4490391741944,0,99,5.78216501496869,0,30.025,0,0,0,0,0,76.525,4.01919342382425,0.349791953736002,19.5851543335591,883.54827394646,616.299811594941,1682.79933524394,4.01919342382425,0.349791953736002,19.5851543335591,883.54827394646,616.299811594941,1682.79933524394,"projected",-0.0408967314964465,"projected",8694.04097283016,,703.156375237838,50.0733484831639,3613.923658556
54392,"New Mexico","2020-10-24",140.242471567983,0,691.7375,40.8080147658069,0,201.5,36.9871431887901,0,183.0125,20.1495586969876,0,104.525,5.8930809946976,0,31,0,0,0,0,0,84.5,4.10921417264788,0.353060499425678,20.0471516294058,887.657488119108,616.822573509261,1702.62365000518,4.10921417264788,0.353060499425678,20.0471516294058,887.657488119108,616.822573509261,1702.62365000518,"projected",-0.0337836680004906,"projected",8731.51528736823,,725.367415564134,51.0500551702222,3743.95045356225
54393,"New Mexico","2020-10-25",143.454258430153,0,719.05,41.8029454533126,0,207.5125,37.8768959534703,0,187.0125,20.6088892818654,0,111.025,6.09768039204947,0,31.5,0,0,0,0,0,90.5125,4.20181486132716,0.356875516198181,20.5427954362202,891.859302980435,617.369340685903,1718.12150306374,4.20181486132716,0.356875516198181,20.5427954362202,891.859302980435,617.369340685903,1718.12150306374,"projected",-0.027753299110073,"projected",8768.98960190628,,748.552941615006,52.0699934526812,3903.62349590697
54394,"New Mexico","2020-10-26",146.878675672281,0,730.537499999999,42.7904805354046,0,211.65,38.7766067076929,0,196.0125,21.0460080477787,0,105.0875,6.22224764967145,0,32.5125,0,0,0,0,0,94.6499999999999,4.29938376256742,0.362192529783363,21.0597239097565,896.158686743003,617.927442017656,1730.03615338017,4.29938376256742,0.362192529783363,21.0597239097565,896.158686743003,617.927442017656,1730.03615338017,"projected",-0.022473485525619,"projected",8806.46391644435,,772.825982024364,53.1394054702949,4089.81975590786
54395,"New Mexico","2020-10-27",150.257699338119,0,752.2625,43.8268709999366,0,220.0375,39.7165440386024,0,202.025,21.4241659452519,0,116.5,6.37627712215545,0,33,0,0,0,0,0,103.0375,4.40190801477905,0.36728281891059,21.5652088681778,900.560594757782,618.493024057885,1742.12397740736,4.40190801477905,0.36728281891059,21.5652088681778,900.560594757782,618.493024057885,1742.12397740736,"projected",-0.0182919391692079,"projected",8843.93823098241,,798.276554005899,54.2628455269034,4287.43204114786
54396,"New Mexico","2020-10-28",154.313724742582,0,786.175,44.8726652641648,0,228.0125,40.6569087298752,0,208.0625,22.1893771559624,0,118.5125,6.52550684127534,0,33.525,0,0,0,0,0,111.0125,4.51020570866065,0.3731065475897,22.3172905863932,905.070800466442,619.218068424659,1755.15618322197,4.51020570866065,0.3731065475897,22.3172905863932,905.070800466442,619.218068424659,1755.15618322197,"projected",-0.0145452248894596,"projected",8881.41254552046,,823.478687159871,55.344127902505,4488.04514031616
54397,"New Mexico","2020-10-29",157.75123129701,0,796.7,46.0057474730765,0,234.0125,41.6909146908131,0,211.6375,22.5162475416568,0,117.525,6.74304154474696,0,35,0,0,0,0,0,117.0125,4.62561316226212,0.377999899557921,23.2178631979532,909.696413628705,620.46505235963,1785.47896084949,4.62561316226212,0.377999899557921,23.2178631979532,909.696413628705,620.46505235963,1785.47896084949,"projected",-0.0113725660258786,"projected",8918.88686005853,,848.33843222622,56.3786198614398,4616.97166511005
54398,"New Mexico","2020-10-30",161.748595043678,0,839.525,47.1825031919577,0,243.0375,42.7651853288696,0,218.6625,23.2538678387703,0,121.0625,6.91656076946359,0,37.0125,0,0,0,0,0,126.0375,4.7457517095303,0.383103760336448,24.1711072037901,914.442165338235,621.466345346732,1816.89841883586,4.7457517095303,0.383103760336448,24.1711072037901,914.442165338235,621.466345346732,1816.89841883586,"projected",-0.00881824410992862,"projected",8956.36117459658,,875.844307570162,57.528751317109,4725.38817480985
54399,"New Mexico","2020-10-31",165.74350340013,0,871.049999999999,48.4032939099171,0,253.075,43.8835223314611,0,226.6625,23.9100765889082,0,123.575,7.10294939955985,0,39.5,0,0,0,0,0,136.075,4.86755490964575,0.38842906821765,25.1773891282,919.309720247881,621.949813228789,1849.40899667111,4.86755490964575,0.38842906821765,25.1773891282,919.309720247881,621.949813228789,1849.40899667111,"projected",-0.00659141136863775,"projected",8993.83548913465,,906.128518081291,58.7571503020124,4897.53770347881
54400,"New Mexico","2020-11-01",169.775370603116,0,901.574999999999,49.6545604862587,0,263.0125,45.0409733693422,0,234.7,24.4019622206225,0,132.0125,7.25740179301263,0,38.0125,0,0,0,0,0,146.0125,4.99277336022418,0.393972975238034,26.0570371106097,924.302493608105,622.370154890148,1880.81962206202,4.99277336022418,0.393972975238034,26.0570371106097,924.302493608105,622.370154890148,1880.81962206202,"projected",-0.00494875223964583,"projected",9031.30980367271,,937.783881010714,60.0337406124803,5161.55913843813

